バージョン	正式名称	コード名	ビルド番号	リリース時期
25H2	Windows 11 2025 Update	25H2	26200	2025年9月30日
24H2	Windows 11 2024 Update	24H2	26100	2024年10月1日
23H2	Windows 11 2023 Update	23H2	22631	2023年10月31日
22H2	Windows 11 2022 Update	22H2	10.0.19045	2022年10月
21H2	November 2021 Update	21H2	10.0.19044	2021年11月
21H1	May 2021 Update	21H1	10.0.19043	2021年5月
20H2	October 2020 Update	20H2	10.0.19042	2020年10月
2004	May 2020 Update	20H1	10.0.19041	2020年5月
1909	November 2019 Update	19H2	10.0.18363	2019年11月
1903	May 2019 Update	19H1	10.0.18362	2019年5月
1809	October 2018 Update	Redstone 5	10.0.17763	2018年10月
1803	April 2018 Update	Redstone 4	10.0.17134	2018年4月
1709	Fall Creators Update	Redstone 3	10.0.16299	2017年10月
1703	Creators Update	Redstone 2	10.0.15063	2017年4月
1607	Anniversary Update	Redstone 1	10.0.14393	2016年8月
1511	November Update	Threshold 2	10.0.10586	2015年11月
1507	初期版	Threshold 1	10.0.10240	2015年7月
